	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16
sub-07_AA_trial0	0.5197255792968284	0.5887138900653296	0.4263077406431822	0.32651795176940307	0.3386524892727298	0.5132943263564752	0.7317438768454911	0.7420434403535024	0.8539954100240914	0.6619401460667146	0.5624144428620527	0.5400784504751276	0.5038531385744445	0.5959852057863824	0.6558737906709328	0.7244764810954163	0.3947086067531326
sub-07_AA_trial1	0.59044511468028	0.5017824609785486	-0.09662240566916395	0.21057180812654513	0.41888387943026595	0.5531700799354723	0.5210438825677373	0.6659855418263176	0.6793870605580679	0.6398224511479403	0.7588607149478551	0.7764687835420447	0.7494124373457023	0.5763702478675308	0.6495137675177513	0.7857215692072146	0.6627382135404633
sub-07_AA_trial2	0.8086903604019938	0.7135413755382803	0.8311766766346607	0.8568471819605357	0.8238310743163004	0.7298508940993635	0.6663288124366995	0.655311970491992	0.6017849131013759	0.22325916856775052	0.4489263938702569	0.34624906234273556	0.2670324030317948	0.34506549804666287	0.3634905031727447	0.7168335362532114	0.644495093499935
sub-07_UA_trial0	0.8945440813540194	0.9605329876086992	0.9211473086703662	0.8729157837937502	0.8002053905000113	0.8170667481423133	0.821371593871836	0.8576861644592836	0.841543454887845	0.7972812010443501	0.7483655632335331	0.6120607604319973	0.262974339993093	0.52194474963501	0.5970730214178482	0.5093612946929927	0.5832294261590033
sub-07_UA_trial1	-0.18439184574421302	-0.45291102188056503	-0.3034549552666835	0.2511148669753983	0.9010270744964851	0.8938555999297907	0.9301199137309082	0.9120551408175348	0.931891703835789	0.926749691735844	0.8164274107543786	0.8168237085192317	0.7890476535162646	0.6996830984591793	0.28841153470539105	0.1677163687090574	0.21021187365353325
sub-07_UA_trial2	0.1028008039150949	0.24215719429599442	0.2670674410892115	0.36442135300176015	0.5720458168810436	0.5446242880522623	0.8702281228759906	0.8868671543687516	0.875109460922299	0.635081691148072	0.4954644718191428	0.6518568236508719	0.6159640512977267	0.6111154339527223	0.7254969298651122	0.5537108826403464	0.6568644619867465
sub-08_AA_trial0	0.01024963127822487	-0.11455844822319773	0.4161449177090035	0.4871675875633592	0.44366012659382226	0.5372275314228632	0.5691109143025413	0.27068022005748943	0.349558775966403	0.5378349286108511	0.3720140495006172	0.4743943475028762	0.46597525040191184	0.2408500459853614	0.11596720976559395	0.22968004034592202	0.11203290455974414
sub-08_AA_trial1	0.9424272304027342	0.8661721667256007	0.8251415697640845	0.5624370545133862	0.20002388106242247	0.5009214864694342	0.3024954457804058	0.3812248375440032	0.39004515239300447	0.5832524523309831	0.49152505931654394	0.7620857089421007	0.7589487295015366	0.32076002100179757	0.39827480388437525	-0.009524145947689073	0.26558839135888845
sub-08_UA_trial0	0.8184082493915734	0.7224439416810418	0.6740132672681021	0.42187595309912185	0.4310840198999855	0.6027810757990181	0.47692479652790076	0.574008816223041	0.18362232634395642	0.4222915881106949	0.63286065306806	0.7623816386354475	0.7673286554066434	0.6809152237013272	0.630852063303551	0.4535553763062766	0.7474379409974349
sub-08_UA_trial1	0.16012511512520652	-0.0875349550668445	0.449427661996593	0.4325043936709909	0.333589714671072	0.3209871489244581	0.3294922034829665	0.3054430798355079	0.40903407341038944	0.7241771884365265	0.6545829846762643	0.619926488776488	0.5807248266352371	0.605496928255744	0.4419678211661233	0.3613991225928683	0.34337040645686256
