	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12
sub-21_AA_trial2	-0.2557151118740025	-0.233283960067834	0.09164893576118009	0.20476302245022204	0.2962456955218813	0.28034097495845867	0.773736803501522	0.7730170112321928	0.6032442727997412	0.6627907952975878	0.5096658609312053	0.20500337631501023	0.3276267957298973
sub-21_AA_trial3	0.8588237392631749	0.6986563731968861	0.37316713858741907	0.32297999786739023	0.5784594893247135	0.769352866312998	0.9574111819773863	0.8621771227649364	0.8789539396224334	0.6562017362419913	0.46319173785137124	0.4467816743871772	0.31759472422335605
sub-21_UA_trial0	0.10439109556751894	0.17132082683013503	0.09019937842710889	0.23541235082002895	0.1756546091147654	0.06253691471583292	0.22592805403633837	0.13105306754076593	-0.0048814582000759705	-0.21375854279394585	-0.22718706108123654	0.13257498751969882	0.4069588040919978
sub-21_UA_trial1	0.44004985746985253	0.8815404676291152	0.8487623353452333	0.42059042159150906	0.28790942347709975	0.34928848894084846	-0.21895549279536886	-0.3539411271475807	-0.10909387952547571	0.10877979243200052	0.20354208854807826	0.763647330523552	0.4752767574747924
sub-21_UA_trial2	0.1734747969464579	-0.23110577090482606	-0.11374963414512135	0.4542981906189406	0.5959435754681599	0.5404195782016145	-0.46240532993113814	-0.5239038715692867	-0.4368986321230557	0.017640482605877184	0.33019013157216226	0.35828010992211806	0.54392655019538
sub-21_UA_trial3	0.43107705382251854	0.9088159222848354	0.8999521955551719	0.8965805436249594	0.7568719482985331	0.0002688922606105992	0.6986770877019418	0.8098213704160168	0.8946020508114384	0.8531922958020637	0.8916104104803423	0.759952791571442	0.9347248905536254
sub-21_UA_trial4	-0.5588517495617256	-0.43693059786829624	0.8196305397949399	0.9505746988385567	0.9752826088453341	0.6530079243877264	-0.05986701994544152	-0.6009053567934647	-0.769233950816257	-0.4877909786975006	0.48109591556843173	0.7467004556045372	0.8439600222528991
sub-22_AA_trial0	0.8816050088158106	0.8516230548392589	0.4217527938972676	0.4184173868396608	-0.12854199209073103	0.5039944429846303	0.667375726401261	0.6733368645158336	0.6757043919812284	0.727670670716425	0.6099800115120048	0.6178628705570761	0.8022137685174526
sub-22_AA_trial1	0.8202563207949409	0.6833501390125145	0.8202114323462253	0.7955210674205133	0.8267358002075827	-0.4890386093704231	-0.13336305134105117	0.29947466982042764	0.31534189601716794	0.0697209105602056	-0.37923200350748953	-0.3553231871149905	0.6146347952827109
sub-22_AA_trial2	0.07906595539616731	0.31188641079513396	0.7792481899579948	0.6765696855833295	0.7255320585161131	0.5999599465718736	0.5669341781844346	0.2673008264023885	0.16645808365857467	0.13558494757241138	0.2141538512884384	0.7071912227604029	0.7344498213125885
sub-22_AA_trial3	-0.52853387436893	-0.42832970718256896	-0.4383272710576504	0.4274978918591142	0.28265705286348264	0.35815559837483113	0.44967381560493697	0.5512881705402467	0.1971928920689272	0.30202667986717513	0.4111676146126244	0.8845737791967337	0.8833272527451086
sub-22_AA_trial4	0.46742793394604815	0.7811242759176502	0.7449114183717633	0.8431447987374335	0.8166286376485609	0.7732833631937467	-0.01875004086279392	-0.17763334253785648	0.001656160551572688	-0.568054925455658	-0.40241915406272355	-0.060996987613321604	0.2117682647661751
sub-22_AA_trial5	0.8600731264665076	0.8099634631747976	0.7025650892624686	0.7339225620848312	0.7130437434345992	0.8591763302437947	0.6797651849553864	0.7483704145169973	0.6932396911349612	0.8823029609568215	0.6251337222394401	0.3132197767664701	0.313579209484196
sub-22_AA_trial6	0.313579209484196	0.05895903552013087	0.07942971762105402	0.1468995660377503	0.3890564199275148	-0.12319550809481158	-0.7566941543268275	-0.3602549420979352	-0.5685754391329293	-0.11904009012981388	0.3738943341376521	0.5596601598959037	0.5409705727124892
sub-22_UA_trial0	0.7037056841747177	0.5177981968853967	0.5201783304050995	0.4803174210774516	0.4574513994842409	0.5064021899970357	0.2931255333743054	0.45194123164198136	0.18785825977302292	0.0008911073547592676	0.08151872522098058	-0.3686207472878223	-0.42652063447323363
